product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence
125476,"Hele õlu Special Edition, SANDELS, 500 ml",A. LE COQ AS,,"Coop, Selver",,,drinks,drinks_beer_cider,high
125477,"Hele õlu, WARSTEINER, 500 ml purk",A. LE COQ AS,,Selver,,,drinks,drinks_beer_cider,high
125478,Henri Ehrhart Alsace Pinot Blanc 75 cl,LTT AS,,Selver,,,other,other,low
125479,"Kreemjogurt kirsilisandiga, FANTASIA, 118 g",NUTRICIA SIA,,Selver,,,drinks,drinks_soft_soda,high
125480,"Täispiimajogurt metsamarja-rukkileiva, ALMA, 350 g",VALIO EESTI AS,,"Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125481,Henri Ehrhart Alsace Riesling 75 cl,LTT AS,,"Coop, Selver",,,drinks,drinks_wine,high
125482,"Maitsestamata jogurt 5%, SAARE, 400 g",SAAREMAA DELIFOOD OÜ,,Selver,,,dairy_eggs_fats,dairy_yogurt_kefir,high
125483,"Herne-suhkrumaisi maisipallid, ELLA'S KITCHEN, 36g",,,Selver,,,drinks,drinks_spirits,high
125484,"Vaniljejogurt kommidega, DANONE, 125 g",NUTRICIA SIA,,"Coop, Rimi, Selver",,,sweets_snacks,sweets_candies,medium
125485,"Hiidmunad XL10 valged, EGGO, 10 tk",,,Selver,,,dairy_eggs_fats,dairy_eggs,high
125486,"Mustikajogurt, EMMA, 1 L",TERE AS,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125487,"Hippis õunapüree banaaniga BIO 4+, HIPP, 100 g",LTT AS,,"Coop, Selver",,,baby,baby_food_pouches,medium
125488,"Maasikajogurt, EMMA, 1 L",TERE AS,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125489,"Koorejogurt muah marja-plombiirimaitseline, ALMA, 180 g",VALIO EESTI AS,,"Barbora, Coop, Maxima, Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125490,"Koorejogurt muah troopiline, ALMA, 180 g",VALIO EESTI AS,,"Barbora, Coop, Maxima, Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
125491,"Koorene kiivi-tikri jogurt, FARMI, 400 g",,,Selver,,,dairy_eggs_fats,dairy_yogurt_kefir,high
125492,"Koorene jogurt šokolaadiga, FANTASIA, 102 g",NUTRICIA SIA,,"Rimi, Selver",,,sweets_snacks,sweets_chocolate_bars,high
125493,"Hippis ploomipüree mustsõstra ja pirniga BIO, HIPP, 100 g",,,Selver,,,baby,baby_food_pouches,medium
125494,"Kreeka jogurt 0,2%, FAGE, 170 g",SELVER AS,,Selver,,,dairy_eggs_fats,dairy_yogurt_kefir,high
125495,"Kreeka jogurt 5%, FAGE, 170 g",SELVER AS,,Selver,,,dairy_eggs_fats,dairy_yogurt_kefir,high
125496,"Kreeka jogurt 5%, FAGE, 500 g",SELVER AS,,Selver,,,dairy_eggs_fats,dairy_yogurt_kefir,high
125497,"Proteiinipuding soolakaramelli, FIT, 150 g",TERE AS,,"Coop, Selver",,,world_spices,spices_basic_salt_pepper,high
125498,HM Borges Madeira 3Y Med.Sweet 75 cl,,,Selver,,,other,other,low
125499,"Tarretis tutti-frutti, JÄNKS, 150 g",FARMI PIIMATÖÖSTUS AS,,"Barbora, Coop, Maxima, Rimi, Selver",,,other,other,low
125500,"Proteiinipuding kakao, FIT, 150 g",TERE AS,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_desserts,medium
125501,"Puding Alma karamelli, ALMA, 230 g",VALIO EESTI AS,,"Barbora, Coop, Maxima, Rimi, Selver",,,dairy_eggs_fats,dairy_desserts,medium
125502,"Kohupiimahõrgutis muraka, ALMA, 150 g",,,Selver,,,dairy_eggs_fats,dairy_cottage_quark,high
125503,"Kohupiimahõrgutis mango-passioni, ALMA, 150 g",VALIO EESTI AS,,Selver,,,dairy_eggs_fats,dairy_cottage_quark,high
125504,"Kiivimaitseline tarretis, FARMI, 150 g",FARMI PIIMATÖÖSTUS AS,,Selver,,,produce,produce_tropical,high
125505,"Panna Cotta vaarika, NOPRI, 150 g",NOPRI TALUMEIEREI OÜ,,"Barbora, Coop, Maxima, Rimi, Selver",,,dairy_eggs_fats,dairy_desserts,medium
125506,"Koorene vaniljepuding 4,9%, FARMI, 230 g",FARMI PIIMATÖÖSTUS AS,,"Coop, Selver",,,dairy_eggs_fats,dairy_cream_sourcream,high
125507,"Talupuding virsiku-passioni Fitlap, NOPRI, 150 g",NOPRI TALUMEIEREI OÜ,,Selver,,,dairy_eggs_fats,dairy_desserts,medium
